postCode,Borough,Neighborhood,avgHousePrice,croudRating
75001,Paris 1er Arrondissement,Paris 1er Arrondissement,12436,"6,85"
75002,Paris 2e Arrondissement,Paris 2e Arrondissement,11214,"6,31"
75003,Paris 3e Arrondissement,Paris 3e Arrondissement,12140,"8,45"
75004,Paris 4e Arrondissement,Paris 4e Arrondissement,12906,"6,82"
75005,Paris 5e Arrondissement,Paris 5e Arrondissement,11965,"8,13"
75006,Paris 6e Arrondissement,Paris 6e Arrondissement,13983,"7,5"
75007,Paris 7e Arrondissement,Paris 7e Arrondissement,13641,"7,13"
75008,Paris 8e Arrondissement,Paris 8e Arrondissement,11272,"6,99"
75009,Paris 9e Arrondissement,Paris 9e Arrondissement,10759,"7,77"
75010,Paris 10e Arrondissement,Paris 10e Arrondissement,9736,"4,81"
75011,Paris 11e Arrondissement,Paris 11e Arrondissement,10021,"6,63"
75012,Paris 12e Arrondissement,Paris 12e Arrondissement,9109,"7,52"
75013,Paris 13e Arrondissement,Paris 13e Arrondissement,8874,"6,52"
75014,Paris 14e Arrondissement,Paris 14e Arrondissement,9912,"6,06"
75015,Paris 15e Arrondissement,Paris 15e Arrondissement,9627,"7,16"
75016,Paris 16e Arrondissement,Paris 16e Arrondissement,10719,"7,46"
75017,Paris 17e Arrondissement,Paris 17e Arrondissement,10262,"7,14"
75018,Paris 18e Arrondissement,Paris 18e Arrondissement,9188,"5,38"
75019,Paris 19e Arrondissement,Paris 19e Arrondissement,8214,"6,17"
75020,Paris 20e Arrondissement,Paris 20e Arrondissement,8537,"6,03"
